导出时间: 2026-04-14 20:36:30

==== store_wave_load_resolved ====
shop_code	wave_belongs	wave1_load	wave2_load	wave3_load	wave4_load	total_resolved_load	first_wave_time	second_wave_time	arrival_time_w3	arrival_time_w4	updated_at
478481	3	12	2	0	10	0	2	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
393016	7	91	3	0	15	0	5	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
393117	4	10	2	0	11	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
393557	6	23	2	0	5	0	2	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
469517	2	12	1	0	7	0	2	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
469691	4	17	2	2	8	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394403	2	6	0	0	7	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394510	5	23	4	2	20	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394488	3	7	2	0	12	0	3	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
393032	7	10	1	1	19	0	4	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
397219	5	14	1	0	6	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
393245	4	22	3	0	8	0	5	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
393303	5	23	3	1	14	4	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394089	3	13	1	0	8	0	2	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
392717	1	0	0	0	6	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
407145	0	0	0	0	0	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
392315	4	20	0	0	18	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394150	2	15	4	0	7	1	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
391716	1	0	0	0	1	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
391718	2	20	1	0	7	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
391717	2	11	0	0	2	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394234	3	12	3	0	16	1	2	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394257	0	0	0	0	0	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
399548	3	12	1	0	11	0	2	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
392525	2	12	3	0	11	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
800401	0	0	0	0	0	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
393416	3	18	0	0	14	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
471707	0	0	0	0	0	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394419	2	11	0	0	9	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
466293	0	0	0	0	0	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
396061	5	18	1	0	12	0	2	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394123	6	20	2	0	8	0	3	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
392713	2	14	0	0	4	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
469660	3	16	1	0	11	1	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394103	2	13	1	0	9	4	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
396449	1	4	1	0	5	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
392179	6	36	2	0	20	0	5	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
395092	4	18	4	2	13	0	3	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
391001	5	60	2	0	14	0	3	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
